company,valuation,dateJoined,yearJoined,country,city,longitude,latitude,industry,investor_1,investor_2,investor_3,investor_4
Solo.io,1,10/07/2021,2021,United States,Cambridge,0.13127290,52.19507880,"Internet, mobile & telecommunications",True Ventures, Altimeter Capital, Redpoint Ventures,
Savage X Fenty,1,02/10/2021,2021,United States,El Segundo,-118.41646520,33.91917990,"Consumer, retail & ecommerce",Speedinvest, Valar Ventures, Uniqa Ventures,
Swile,1,10/11/2021,2021,France,Montpellier,3.87671600,43.61076900,Fintech & data management,Index Ventures, IDInvest Partners, Daphni,
Moka,1,11/02/2021,2021,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",GGV Capital, GSR Ventures, FreesFund,
Tezign,1,11/02/2021,2021,China,Shanghai,121.47370100,31.23041600,"Internet, mobile & telecommunications",Sequoia Capital China, Linear Venture, Hearst Ventures,
Vagaro,1,11/03/2021,2021,United States,Dublin,-6.26030970,53.34980530,"Internet, mobile & telecommunications",FTV Capital,,,
Drata,1,11/08/2021,2021,United States,San Diego,-117.16108380,32.71573800,AI & Cybersecurity,Cowboy Ventures, Leaders Fund, GGV Capital,
Razor,1,11/08/2021,2021,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Global Founders Capital, 468 Capital, Redalpine Venture Partners,
IGAWorks,1,11/08/2021,2021,South Korea,Seoul,126.97796920,37.56653500,"Internet, mobile & telecommunications",Korea Investment Private Equity, Atinum Investment, Korea Investment Partners,
OpenWeb,1,11/09/2021,2021,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",Insight Partners, AltaIR Capital, Norma Investments,
Contrast Security,1,11/09/2021,2021,United States,Los Altos,-122.11412980,37.38521830,AI & Cybersecurity,Acero Capital, General Catalyst, M12,
Wrapbook,1,11/10/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Equal Ventures, Uncork Capital, Andreessen Horowitz,
Clara,1,12/06/2021,2021,Mexico,Mexico City,-99.13320800,19.43260770,Fintech & data management,DST Global, General Catalyst, Monashees+,
YipitData,1,12/06/2021,2021,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",RRE Ventures+, Highland Capital Partners, The Carlyle Group,
Anyscale,1,12/07/2021,2021,United States,Berkeley,-122.27304200,37.87152260,AI & Cybersecurity,Andreessen Horowitz, Intel Capital, Foundation Capital,
Iodine Software,1,12/01/2021,2021,United States,Austin,-97.74306080,30.26715300,Fintech & data management,Advent International, Bain Capital Ventures, Silversmith Capital Partners,
ReliaQuest,1,12/01/2021,2021,United States,Tampa,-82.45717760,27.95057500,AI & Cybersecurity,KKR, FTV Capital, Ten Eleven Ventures,
Pet Circle,1,12/06/2021,2021,Australia,Alexandria,-77.04692140,38.80483550,"Consumer, retail & ecommerce",Prysm Capital, Baillie Gifford & Co., TDM Growth Partners,
Lydia,1,12/08/2021,2021,France,Paris,2.35222190,48.85661400,Fintech & data management,NewAlpha, XAnge Private Equity, Tencent Holdings,
SellerX,1,12/09/2021,2021,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Cherry Ventures, Felix Capital, 83North,
Fractal Analytics,1,01/05/2022,2022,India,Mumbai,72.87765590,19.07598370,Fintech & data management,TPG Capital, Apax Partners, TA Associates,
Placer.ai,1,01/12/2022,2022,United States,Los Altos,-122.11412980,37.38521830,AI & Cybersecurity,Fifth Wall Ventures, JBV Capital, Array Ventures,
Pentera,1,01/11/2022,2022,Israel,Petah Tikva,34.88776200,32.08404100,AI & Cybersecurity,AWZ Ventures, Blackstone, Insight Partners,
Betterfly,1,02/01/2022,2022,Chile,Santiago,-70.66926550,-33.44888970,AI & Cybersecurity,QED Investors, DST Global, Endeavor,
Dune Analytics,1,02/02/2022,2022,Norway,Oslo,10.75224540,59.91386880,Fintech & data management,Multicoin Capital, Coatue Management, Dragonfly Capital Partners,
Watershed,1,02/08/2022,2022,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Kleiner Perkins Caufield & Byers, Sequoia Capital,,
Gauntlet Networks,1,03/07/2022,2022,United States,New York,-74.00597280,40.71277530,Fintech & data management,Polychain Capital, Paradigm, Ribbit Capital,
BostonGene,1,04/06/2022,2022,United States,Waltham,-71.23561130,42.37648520,Health,Japan Industrial Partners, Impact Investment Capital, NEC,
Grover,1,04/07/2022,2022,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Varengold Bank, Circularity Capital, Coparion,
Genies,1,04/12/2022,2022,United States,Venice,12.31551510,45.44084740,"Internet, mobile & telecommunications",New Enterprise Associates, Tull Investment Group, Silver Lake,
Open,1,05/02/2022,2022,India,Bengaluru,77.59456270,12.97159870,Fintech & data management,3one4 Capital Partners, Tiger Global Management, Temasek,
Polarium,1,05/03/2022,2022,Sweden,Kista,17.94648240,59.40243410,Other,AMF Pensionsforsakring,,,
Opn,1,05/09/2022,2022,Japan,Tokyo,139.65031060,35.67619190,Fintech & data management,Sinar Mas Digital Ventures, JIC Venture Growth Investments, Golden Gate Ventures,
Remarkable,1,05/10/2022,2022,Norway,Oslo,10.75224540,59.91386880,"Internet, mobile & telecommunications",Spark Capital,,,
Habi,1,05/11/2022,2022,Colombia,Bogota,-74.07209200,4.71098860,Fintech & data management,Homebrew, Inspired Capital, Tiger Global Management,
CareBridge,1,06/08/2022,2022,United States,Nashville,-86.78160160,36.16266380,Health,Bain Capital Ventures, Splunk Ventures, Cisco Investments,
Immuta,1,06/08/2022,2022,United States,Boston,-71.05888010,42.36008250,Fintech & data management,DFJ Growth Fund, Dell Technologies Capital, Ten Eleven Ventures,
JupiterOne,1,06/02/2022,2022,United States,Morrisville,-75.64018250,42.89867910,AI & Cybersecurity,Bain Capital Ventures, Splunk Ventures, Cisco Investments,
SingleStore,1,07/12/2022,2022,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Google Ventures, Accel, Data Collective,
